382,Coil 1 nmr spectrum,PAS_C1_V251,double,10,,,,,,1
383,Coil 1 nmr spectrum,PAS_C1_V252,double,10,,,,,,1
384,Coil 1 nmr spectrum,PAS_C1_V253,double,10,,,,,,1
385,Coil 1 nmr spectrum,PAS_C1_V254,double,10,,,,,,1
386,Coil 1 nmr spectrum,PAS_C1_V255,double,10,,,,,,1
387,Coil 1 nmr spectrum,PAS_C1_V256,double,10,,,,,,1
388,Coil 1 nmr spectrum,PAS_C1_V257,double,10,,,,,,1
389,Coil 1 nmr spectrum,PAS_C1_V258,double,10,,,,,,1
390,Coil 1 nmr spectrum,PAS_C1_V259,double,10,,,,,,1
391,Coil 1 nmr spectrum,PAS_C1_V260,double,10,,,,,,1
392,Coil 1 nmr spectrum,PAS_C1_V261,double,10,,,,,,1
393,Coil 1 nmr spectrum,PAS_C1_V262,double,10,,,,,,1
394,Coil 1 nmr spectrum,PAS_C1_V263,double,10,,,,,,1
395,Coil 1 nmr spectrum,PAS_C1_V264,double,10,,,,,,1
396,Coil 1 nmr spectrum,PAS_C1_V265,double,10,,,,,,1
397,Coil 1 nmr spectrum,PAS_C1_V266,double,10,,,,,,1
398,Coil 1 nmr spectrum,PAS_C1_V267,double,10,,,,,,1
399,Coil 1 nmr spectrum,PAS_C1_V268,double,10,,,,,,1
400,Coil 1 nmr spectrum,PAS_C1_V269,double,10,,,,,,1
401,Coil 1 nmr spectrum,PAS_C1_V270,double,10,,,,,,1
402,Coil 1 nmr spectrum,PAS_C1_V271,double,10,,,,,,1
403,Coil 1 nmr spectrum,PAS_C1_V272,double,10,,,,,,1
404,Coil 1 nmr spectrum,PAS_C1_V273,double,10,,,,,,1
405,Coil 1 nmr spectrum,PAS_C1_V274,double,10,,,,,,1
406,Coil 1 nmr spectrum,PAS_C1_V275,double,10,,,,,,1
